ID,DESCRIPTION,Attribut1,Additional Feature,Application,Characteristic,Temp,Height,Length in mm,Rating,Material,Size,Code,Joule-integral-Nom (J),LC Risk,Maximum AC Voltage Rating,Maximum DC Voltage Rating,Maximum Power Dissipation,Mounting,Mounting Feature,Number of Terminals,Operating Temperature-Max (Cel),Operating Temperature-Min (Cel),Physical Dimension,Pre-arcing time-Min (ms),Product Diameter,Product Length,Rated Breaking Capacity (A),Rated Current (A),Rated Voltage (V),Rated Voltage(AC) (V),Rated Voltage(DC) (V),SIMILAR_PARTS
a271,indicator red fast movement 0.2a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.2a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.2a,ceramic,5 x 20mm,e3,0.00439j,med,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.2a,,250v,,"[['a271', 'indicator red fast movement 0.2a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.2a 250vac 1500a ir inlineholder'], ['a245', 'indicator red fast movement 5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 5a 250vac 1500a ir inlineholder'], ['a256', 'indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder'], ['a275', 'indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder'], ['a472', 'indicator red fast movement 0.2a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 0.2a 250vac 35a ir inlineholder']]"
a272,indicator red fast movement 0.25a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.25a 250vac 1500a ir supplemental inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.25a,ceramic,5 x 20mm,e3,0.00891j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.25a,250v,250v,,"[['a474', 'indicator red fast movement 0.25a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 0.25a 250vac 35a ir inlineholder'], ['a245', 'indicator red fast movement 5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 5a 250vac 1500a ir inlineholder'], ['a256', 'indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder'], ['a275', 'indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder'], ['a473', 'indicator red fast movement 2.25a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 2.25a 250vac 100a ir inlineholder']]"
a273,indicator red fast movement 0.315a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.315a 250vac 1500a ir supplemental inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,3.15a,ceramic,5 x 20mm,e3,6.7j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,3.15a,250v,250v,,"[['a937', 'indicator chip very fast movement 0.315a 125v smd solder pad 2410 ceramic tr cecsapseul electric indicator very fast blow 0.315a 125vac 125vdc 50a ir surface mount nano'], ['a939', 'indicator chip very fast movement 0.315a 125v smd solder pad 2410 ceramic tr cecsapseul electric indicator very fast blow 0.315a 125vac 125vdc 50a ir surface mount nano'], ['a245', 'indicator red fast movement 5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 5a 250vac 1500a ir inlineholder'], ['a256', 'indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder'], ['a275', 'indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder']]"
a274,indicator red fast movement 0.4a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.4a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.4a,ceramic,5 x 20mm,e3,0.04j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.4a,,250v,,"[['a244', 'indicator red fast movement 4a 250v holder plastic melf 5 x 20mm ceramic bsiccccecsakcpsesemkovdeculus electric indicator fast blow 4a 250vac 1500a ir inlineholder'], ['a245', 'indicator red fast movement 5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 5a 250vac 1500a ir inlineholder'], ['a256', 'indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder'], ['a275', 'indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder'], ['a42', 'indicator red slow blow movement 4a 250v holder plastic melf 5 x 20mm ceramic tr cccvdeculus electric indicator time lag blow 4a 250vac 150vdc 1500a ir surface mount']]"
a275,indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.5a,ceramic,5 x 20mm,e3,0.165j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.5a,,250v,,"[['a256', 'indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder'], ['a275', 'indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder'], ['a263', 'indicator red fast movement 0.08a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder'], ['a243', 'indicator red fast movement 2a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2a 250vac 1500a ir inlineholder'], ['a271', 'indicator red fast movement 0.2a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.2a 250vac 1500a ir inlineholder']]"
a276,indicator red fast movement 0.63a 250v holder plastic 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.63a,ceramic,5 x 20mm,e3,0.175j,low,250v,,2.5typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.63a,250v,250v,,"[['a277', 'indicator red fast movement 0.63a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder'], ['a270', 'indicator red fast movement 0.2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.2a 250vac 1500a ir inlineholder 5x20mm'], ['a260', 'indicator red fast movement 0.063a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder'], ['a343', 'indicator slow blow movement 0.63a holder 5 x 20mm electric indicator 5 x 20mm'], ['a230', 'indicator slow blow movement 0.63a 5 x 20mm electric indicator 5 x 20mm']]"
a277,indicator red fast movement 0.63a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.63a,ceramic,5 x 20mm,e3,0.175j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.63a,,250v,,"[['a260', 'indicator red fast movement 0.063a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder'], ['a276', 'indicator red fast movement 0.63a 250v holder plastic 5 x 20mm ceramic bulk ccccecsasemkoulvde electric indicator fast blow 0.63a 250vac 1500a ir inlineholder 5x20mm'], ['a245', 'indicator red fast movement 5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 5a 250vac 1500a ir inlineholder'], ['a256', 'indicator red fast movement 2.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder'], ['a275', 'indicator red fast movement 0.5a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.5a 250vac 1500a ir inlineholder']]"
a278,indicator red fast movement 0.8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder,fast,,motor circuit,fast,,20mm,5.2mm,0.8a,ceramic,5 x 20mm,e3,0.285j,high,250v,,,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,1500a,0.8a,,250v,,"[['a278', 'indicator red fast movement 0.8a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder'], ['a263', 'indicator red fast movement 0.08a 250v holder plastic melf 5 x 20mm ceramic ccccecsapsesemkoulvde electric indicator fast blow 0.8a 250vac 1500a ir inlineholder'], ['a459', 'indicator red fast movement 1.8a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 1.8a 250vac 100a ir inlineholder'], ['a81', 'indicator red very fast movement 8a 250v holder plastic 5 x 20mm ceramic box electric indicator super fast blow 8a 250vac 1500a ir inlineholder 5x20mm'], ['a246', 'indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic bulk cecsakcpsesemkotuvvdeculus electric indicator fast blow 8a 250vac 1500a ir inlineholder 5x20mm']]"
a279,indicator fast movement 3a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,3a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a281', 'indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a113', 'indicator 5 x 20mm glass electric indicator 5 x 20mm'], ['a280', 'indicator fast movement 4a holder 5 x 20mm glass electric indicator 5 x 20mm']]"
a280,indicator fast movement 4a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,4a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a83', 'indicator fast movement 4a 5 x 20mm glass electric indicator 5 x 20mm'], ['a103', 'indicator slow blow movement 4a 5 x 20mm glass electric indicator 5 x 20mm'], ['a338', 'indicator slow blow movement 4a holder 5 x 20mm electric indicator 5 x 20mm'], ['a281', 'indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm']]"
a281,indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,5a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a300', 'indicator slow blow movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a217', 'indicator slow blow movement 5a 5 x 20mm glass electric indicator 5 x 20mm'], ['a113', 'indicator 5 x 20mm glass electric indicator 5 x 20mm']]"
a282,indicator fast movement 8a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,8a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a248', 'indicator fast movement 8a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a18', 'indicator slow blow movement 8a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a281', 'indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm']]"
a283,indicator fast movement 10a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,10a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a281', 'indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a101', 'indicator slow blow movement 10a 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a113', 'indicator 5 x 20mm glass electric indicator 5 x 20mm']]"
a284,indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,1.5a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a300', 'indicator slow blow movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a217', 'indicator slow blow movement 5a 5 x 20mm glass electric indicator 5 x 20mm'], ['a113', 'indicator 5 x 20mm glass electric indicator 5 x 20mm']]"
a285,indicator fast movement 1.6a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,1.6a,glass,5 x 20mm,,,,250v,,1.6typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a290', 'indicator fast movement 0.6a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a238', 'indicator slow blow movement 1.6a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a281', 'indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm']]"
a286,indicator red fast movement 0.2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.2a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.2a,glass,5 x 20mm,e3,0.02j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.2a,250v,250v,250v,"[['a287', 'indicator red fast movement 0.25a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.25a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a234', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 250vdc 1500a ir inlineholder 5x20mm'], ['a292', 'indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.8a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a320', 'indicator red slow blow movement 0.2a 250v holder axial melf 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator time lag blow 0.2a 35a ir supplemental 5x20mm'], ['a295', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 35a ir supplemental inlineholder 5x20mm']]"
a287,indicator red fast movement 0.25a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.25a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.25a,glass,5x20mm,e3,0.04j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.25a,250v,250v,250v,"[['a321', 'indicator red slow blow movement 0.25a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator time lag blow 0.25a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a286', 'indicator red fast movement 0.2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.2a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a292', 'indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.8a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a474', 'indicator red fast movement 0.25a 250v holder plastic melf 6.3 x 32mm glass csaul electric indicator fast blow 0.25a 250vac 35a ir inlineholder'], ['a322', 'indicator red slow blow movement 0.25a 250v holder axial melf 5 x 20mm glass tr ccccecsakcsemkoulvde electric indicator time lag blow 0.25a 35a ir supplemental 5x20mm']]"
a288,indicator red fast movement 0.5a 250v holder plastic 5 x 20mm glass bulk bsiccccecsakcsemkoulvde electric indicator fast blow 0.5a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.5a,glass,5x20mm,,0.215j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.5a,250v,250v,250v,"[['a255', 'indicator red fast movement 2.5a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator fast blow 2.5a 250vac 1500a ir inlineholder 5x20mm'], ['a286', 'indicator red fast movement 0.2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.2a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a219', 'indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm glass bulk bsiccccecsapsesemkoul electric indicator time lag blow 2.5a 250vac 250vdc 35a ir through hole 5x20mm'], ['a287', 'indicator red fast movement 0.25a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.25a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a308', 'indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2.5a 250vac 35a ir inlineholder']]"
a289,indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,0.5a,glass,5 x 20mm,,,,250v,,1.6typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a300', 'indicator slow blow movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a217', 'indicator slow blow movement 5a 5 x 20mm glass electric indicator 5 x 20mm'], ['a113', 'indicator 5 x 20mm glass electric indicator 5 x 20mm']]"
a290,indicator fast movement 0.6a holder 5 x 20mm glass electric indicator 5 x 20mm,fast,,motor circuit,,,,,0.6a,glass,5 x 20mm,,,,250v,,,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a290', 'indicator fast movement 0.6a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a238', 'indicator slow blow movement 1.6a holder 5 x 20mm ceramic electric indicator 5 x 20mm'], ['a281', 'indicator fast movement 5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a284', 'indicator fast movement 1.5a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a289', 'indicator fast movement 0.5a holder 5 x 20mm glass electric indicator 5 x 20mm']]"
a291,indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator,fast,,supplementary protectionutilization equipment to provide individual protection,,,,,0.8a,glass,5 x 20mm,,,low,250v,,1.6typw,holder,,2.0,,,,,5.2mm,20mm,,,,,,"[['a292', 'indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.8a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a331', 'indicator red slow blow movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator time lag blow 0.8a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a282', 'indicator fast movement 8a holder 5 x 20mm glass electric indicator 5 x 20mm'], ['a332', 'indicator red slow blow movement 0.8a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcsemkoulvde electric indicator time lag blow 0.8a 35a ir supplemental 5x20mm'], ['a286', 'indicator red fast movement 0.2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.2a 250vac 250vdc 35a ir inlineholder 5x20mm']]"
a292,indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.8a 250vac 250vdc 35a ir inlineholder 5x20mm,fast,,supplementary protectionutilization equipment to provide individual protection,fast,,20mm,5.2mm,0.8a,glass,5x20mm,e3,0.85j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,0.8a,250v,250v,250v,"[['a331', 'indicator red slow blow movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator time lag blow 0.8a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a291', 'indicator red fast movement 0.8a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator'], ['a286', 'indicator red fast movement 0.2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.2a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a287', 'indicator red fast movement 0.25a 250v holder plastic 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator fast blow 0.25a 250vac 250vdc 35a ir inlineholder 5x20mm'], ['a246', 'indicator red fast movement 8a 250v holder plastic 5 x 20mm ceramic bulk cecsakcpsesemkotuvvdeculus electric indicator fast blow 8a 250vac 1500a ir inlineholder 5x20mm']]"
a293,indicator red slow blow movement 1a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 1a 250vac 35a ir supplemental inlineholder 5x20mm,slow blow,,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,1a,glass,5x20mm,,6.73j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,1a,250v,250v,,"[['a294', 'indicator red slow blow movement 1a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcpsesemkoulvde electric indicator time lag blow 1a 35a ir supplemental 5x20mm'], ['a299', 'indicator red slow blow movement 5a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 5a 250vac 50a ir supplemental inlineholder 5x20mm'], ['a295', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a316', 'indicator red slow blow movement 0.1a 250v holder axial melf 5 x 20mm glass tr ccccecsakcsemkoulvde electric indicator time lag blow 0.1a 35a ir supplemental 5x20mm'], ['a308', 'indicator red slow blow movement 2.5a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2.5a 250vac 35a ir inlineholder']]"
a294,indicator red slow blow movement 1a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcpsesemkoulvde electric indicator time lag blow 1a 35a ir supplemental 5x20mm,slow blow,,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,20mm,1a,glass,5x20mm,,,low,250v,,1.6typw,holder,,2.0,125cel,-55cel,20mm  x  20mm,,5.2mm,20mm,35a,1a,250v,,,"[['a316', 'indicator red slow blow movement 0.1a 250v holder axial melf 5 x 20mm glass tr ccccecsakcsemkoulvde electric indicator time lag blow 0.1a 35a ir supplemental 5x20mm'], ['a309', 'indicator red slow blow movement 2.5a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcpsesemkoulvde electric indicator time lag blow 2.5a 35a ir supplemental 5x20mm'], ['a293', 'indicator red slow blow movement 1a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 1a 250vac 35a ir supplemental inlineholder 5x20mm'], ['a296', 'indicator red slow blow movement 2a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 35a ir supplemental 5x20mm'], ['a325', 'indicator red slow blow movement 3.15a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcpsesemkoulvde electric indicator time lag blow 0.315a 35a ir supplemental 5x20mm']]"
a295,indicator red slow blow movement 2a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 35a ir supplemental inlineholder 5x20mm,slow blow,,supplementary protectionutilization equipment to provide individual protection,time lag,,20mm,5.2mm,2a,glass,5x20mm,e3,14.45j,low,250v,,1.6typw,holder,inlineholder,2.0,125cel,-55cel,5.2mm  x  20mm,,5.2mm,20mm,35a,2a,250v,250v,,"[['a233', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 1500a ir supplemental inlineholder 5x20mm'], ['a234', 'indicator red slow blow movement 2a 250v holder plastic 5 x 20mm ceramic bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 250vac 250vdc 1500a ir inlineholder 5x20mm'], ['a296', 'indicator red slow blow movement 2a 250v holder axial melf 5 x 20mm glass tr automotive ccccecsakcpsesemkoulvde electric indicator time lag blow 2a 35a ir supplemental 5x20mm'], ['a320', 'indicator red slow blow movement 0.2a 250v holder axial melf 5 x 20mm glass bulk ccccecsakcsemkoulvde electric indicator time lag blow 0.2a 35a ir supplemental 5x20mm'], ['a299', 'indicator red slow blow movement 5a 250v holder plastic 5 x 20mm glass bulk ccccecsakcpsesemkoulvde electric indicator time lag blow 5a 250vac 50a ir supplemental inlineholder 5x20mm']]"
